ChapterNum,Title,Title,Para,Para,ParaShifted,CharacterCountDifference,LevenshteinDistance,AboveLevCharThreshold
,Previous,Current,Previous,Current,,,,
AWRS141200,AWRS141200 How To Process A Fixed Penalty,AWRS141200 How To Process A Fixed Penalty,Guidance on how to process a fixed penalty will be published here in due course.,(This content has been withheld because of exemptions in the Freedom of Information Act 2000),False,13,124,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Profits and losses from loan relationships include capital profits and losses (CTA09/S293(3)), but amounts brought into account are those recognised in a statement of the company’s profit or loss for the period or in reserves (CFM33100).",Capitalised amounts,False,218,220,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Interest and other expenses relating to a loan taken out to fund capital expenditure, may be taken to a fixed capital asset account. Without special provision, the company may not get relief under the loan relationships legislation.",This guidance covers cases in which interest is capitalised in a company’s financial statements and therefore does not immediately give rise to amounts recognised as items of profit or loss. S 320 allows amounts to be taken into account for tax notwithstanding this treatment. This section was amended by F(No.2)A15 for accounting periods beginning on or after 1 January 2016.,False,144,557,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"CTA09/S320 applies where, in accordance with generally accepted accounting practice, amounts arising on a loan relationship are taken into account in determining the value of a fixed capital asset or project. Despite that treatment, the credit or debit must be brought into account under the loan relationships rules. This treatment is mandatory.","It should be noted, however, that there was no major changes to the general effect of the provision. The main change is that the special rule is no longer limited to amounts taken to the carrying value of a ‘fixed capital asset or project’, terminology not current in UK GAAP.",False,70,613,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"This does not mean that any debit or credit in a company’s accounts will automatically give rise to tax relief or a tax charge. There must be a gain, profit or loss on a loan relationship - see example of ‘work in progress’ below. Nor does it apply to debits on intangible assets which fall under CTA09/PT9.",Introduction,False,295,299,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Computational adjustments must be made when amortisation of an asset is taken to profit and loss account, or when an asset is sold, and the interest then appears in the profit and loss account.","The general rule in S307 is that amounts arising in respect of the loan relationship matters set out in S306A are only taken into account for tax under CTA09/PT5 if they are treated, under GAAP, as items of profits or loss.",False,30,283,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Development costs,"There are, however, situations where amounts are recognised in determining the carrying value of an asset or liability, and a result this does not give rise to an amount recognised as an item or profit or loss unless and until the asset is amortised or derecognised. Without special provision, the company may not get relief under the loan relationships legislation.",False,349,366,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"This treatment also applies where development costs, for example in the development phase of a new product, are capitalised. If the development costs are correctly treated as a fixed capital asset, the company will get relief for interest and other associated cost when they are incurred.","S320 operates to address this. This provision applies where, in accordance with generally accepted accounting practice, amounts are recognised in determining the carrying value of certain assets or liabilities. Despite that treatment, the amounts must be brought into account under the loan relationships rules. This treatment is mandatory.",False,52,515,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Work in progress,"This does not mean that any debit or credit in a company’s accounts will automatically give rise to tax relief or a tax charge. There must be a gain, profit or loss on a loan relationship - see example of ‘work in progress’ below. Nor does it apply to debits on intangible assets which fall under CTA09/PT9.",False,291,292,True
